CB,CR,CD,CE,DM,DR,DD,DP,DDm,DE,EE,stablity
110.6,0.87,2.38,0.264,60.095,2.1,19.92,6.91,1.7,0.665,0.264,1
110.6,0.87,2.38,0.264,60.095,2.1,19.92,6.91,1.7,0.665,0.3611,1
110.6,0.87,2.38,0.264,60.095,2.1,19.92,6.91,1.7,0.665,0.3199,1
110.6,0.87,2.38,0.264,60.095,2.1,19.92,6.91,1.7,0.665,0.4469,1
110.6,0.87,2.38,0.264,60.095,2.1,19.92,6.91,1.7,0.665,0.3289,1
110.6,0.87,2.38,0.264,60.095,2.1,19.92,6.91,1.7,0.665,0.36199,1
110.6,0.87,2.38,0.264,60.095,2.1,19.92,6.91,1.7,0.665,0.369,1
110.6,0.87,2.38,0.264,60.095,2.1,19.92,6.91,1.7,0.665,1.106,1
110.6,0.87,2.38,0.264,60.095,2.1,19.92,6.91,1.7,0.665,0.2977,1
110.6,0.87,2.38,0.264,60.095,2.1,19.92,6.91,1.7,0.665,0.393,1
110.6,0.87,2.38,0.264,60.095,2.1,19.92,6.91,1.7,0.665,0.3071,1
110.6,0.87,2.38,0.264,60.095,2.1,19.92,6.91,1.7,0.665,0.665,1
110.6,0.87,2.38,0.264,60.095,2.1,19.92,6.91,1.7,0.665,0.644,1
110.6,0.87,2.38,0.264,60.095,2.1,19.92,6.91,1.7,0.665,0.102,0
110.6,0.87,2.38,0.264,60.095,2.1,19.92,6.91,1.7,0.665,0.56,1
110.6,0.87,2.38,0.264,60.095,2.1,19.92,6.91,1.7,0.665,0.363,1
110.6,0.87,2.38,0.264,60.095,2.1,19.92,6.91,1.7,0.665,0,0
110.6,0.87,2.38,0.264,86.09,3,39,8,4.02,0.369,0.5625,0
110.6,0.87,2.38,0.264,86.09,3,39,8,4.02,0.369,0.264,0
110.6,0.87,2.38,0.264,86.09,3,39,8,4.02,0.369,0.3611,0
110.6,0.87,2.38,0.264,86.09,3,39,8,4.02,0.369,0.3199,0
110.6,0.87,2.38,0.264,86.09,3,39,8,4.02,0.369,0.4469,0
110.6,0.87,2.38,0.264,86.09,3,39,8,4.02,0.369,0.3289,0
110.6,0.87,2.38,0.264,86.09,3,39,8,4.02,0.369,0.36199,0
110.6,0.87,2.38,0.264,86.09,3,39,8,4.02,0.369,0.369,0
110.6,0.87,2.38,0.264,86.09,3,39,8,4.02,0.369,1.106,1
110.6,0.87,2.38,0.264,86.09,3,39,8,4.02,0.369,0.2977,0
110.6,0.87,2.38,0.264,86.09,3,39,8,4.02,0.369,0.393,0
110.6,0.87,2.38,0.264,86.09,3,39,8,4.02,0.369,0.3071,0
110.6,0.87,2.38,0.264,86.09,3,39,8,4.02,0.369,0.665,1
110.6,0.87,2.38,0.264,86.09,3,39,8,4.02,0.369,0.644,1
110.6,0.87,2.38,0.264,86.09,3,39,8,4.02,0.369,0.102,0
110.6,0.87,2.38,0.264,86.09,3,39,8,4.02,0.369,0.56,0
110.6,0.87,2.38,0.264,86.09,3,39,8,4.02,0.369,0.363,0
110.6,0.87,2.38,0.264,86.09,3,39,8,4.02,0.369,0,0
110.6,0.87,2.38,0.264,58.08,2,20.7,6.33,2.88,0.3071,0.5625,0
110.6,0.87,2.38,0.264,58.08,2,20.7,6.33,2.88,0.3071,0.264,0
110.6,0.87,2.38,0.264,58.08,2,20.7,6.33,2.88,0.3071,0.3611,0
110.6,0.87,2.38,0.264,58.08,2,20.7,6.33,2.88,0.3071,0.3199,0
110.6,0.87,2.38,0.264,58.08,2,20.7,6.33,2.88,0.3071,0.4469,0
110.6,0.87,2.38,0.264,58.08,2,20.7,6.33,2.88,0.3071,0.3289,0
110.6,0.87,2.38,0.264,58.08,2,20.7,6.33,2.88,0.3071,0.36199,0
110.6,0.87,2.38,0.264,58.08,2,20.7,6.33,2.88,0.3071,0.369,0
110.6,0.87,2.38,0.264,58.08,2,20.7,6.33,2.88,0.3071,1.106,0
110.6,0.87,2.38,0.264,58.08,2,20.7,6.33,2.88,0.3071,0.2977,0
110.6,0.87,2.38,0.264,58.08,2,20.7,6.33,2.88,0.3071,0.393,0
110.6,0.87,2.38,0.264,58.08,2,20.7,6.33,2.88,0.3071,0.3071,0
110.6,0.87,2.38,0.264,58.08,2,20.7,6.33,2.88,0.3071,0.665,0
110.6,0.87,2.38,0.264,58.08,2,20.7,6.33,2.88,0.3071,0.644,0
110.6,0.87,2.38,0.264,58.08,2,20.7,6.33,2.88,0.3071,0.102,0
110.6,0.87,2.38,0.264,58.08,2,20.7,6.33,2.88,0.3071,0.56,0
110.6,0.87,2.38,0.264,58.08,2,20.7,6.33,2.88,0.3071,0.363,0
110.6,0.87,2.38,0.264,58.08,2,20.7,6.33,2.88,0.3071,0,0
110.6,0.87,2.38,0.264,60.05,2.1,6.15,5.1,1.299,0.4469,0.5625,0
110.6,0.87,2.38,0.264,60.05,2.1,6.15,5.1,1.299,0.4469,0.264,0
110.6,0.87,2.38,0.264,60.05,2.1,6.15,5.1,1.299,0.4469,0.3611,0
110.6,0.87,2.38,0.264,60.05,2.1,6.15,5.1,1.299,0.4469,0.3199,0
110.6,0.87,2.38,0.264,60.05,2.1,6.15,5.1,1.299,0.4469,0.4469,0
110.6,0.87,2.38,0.264,60.05,2.1,6.15,5.1,1.299,0.4469,0.3289,0
110.6,0.87,2.38,0.264,60.05,2.1,6.15,5.1,1.299,0.4469,0.36199,0
110.6,0.87,2.38,0.264,60.05,2.1,6.15,5.1,1.299,0.4469,0.369,0
110.6,0.87,2.38,0.264,60.05,2.1,6.15,5.1,1.299,0.4469,1.106,0
110.6,0.87,2.38,0.264,60.05,2.1,6.15,5.1,1.299,0.4469,0.2977,0
110.6,0.87,2.38,0.264,60.05,2.1,6.15,5.1,1.299,0.4469,0.393,0
110.6,0.87,2.38,0.264,60.05,2.1,6.15,5.1,1.299,0.4469,0.3071,0
110.6,0.87,2.38,0.264,60.05,2.1,6.15,5.1,1.299,0.4469,0.665,0
110.6,0.87,2.38,0.264,60.05,2.1,6.15,5.1,1.299,0.4469,0.644,0
110.6,0.87,2.38,0.264,60.05,2.1,6.15,5.1,1.299,0.4469,0.102,0
110.6,0.87,2.38,0.264,60.05,2.1,6.15,5.1,1.299,0.4469,0.56,0
110.6,0.87,2.38,0.264,60.05,2.1,6.15,5.1,1.299,0.4469,0.363,0
110.6,0.87,2.38,0.264,60.05,2.1,6.15,5.1,1.299,0.4469,0,0
110.6,0.87,2.38,0.264,46.07,1.6,24.3,5.09,1.69,0.644,0.5625,1
110.6,0.87,2.38,0.264,46.07,1.6,24.3,5.09,1.69,0.644,0.264,1
110.6,0.87,2.38,0.264,46.07,1.6,24.3,5.09,1.69,0.644,0.3611,1
110.6,0.87,2.38,0.264,46.07,1.6,24.3,5.09,1.69,0.644,0.3199,1
110.6,0.87,2.38,0.264,46.07,1.6,24.3,5.09,1.69,0.644,0.4469,1
110.6,0.87,2.38,0.264,46.07,1.6,24.3,5.09,1.69,0.644,0.3289,1
110.6,0.87,2.38,0.264,46.07,1.6,24.3,5.09,1.69,0.644,0.36199,1
110.6,0.87,2.38,0.264,46.07,1.6,24.3,5.09,1.69,0.644,0.369,1
110.6,0.87,2.38,0.264,46.07,1.6,24.3,5.09,1.69,0.644,1.106,1
110.6,0.87,2.38,0.264,46.07,1.6,24.3,5.09,1.69,0.644,0.2977,1
110.6,0.87,2.38,0.264,46.07,1.6,24.3,5.09,1.69,0.644,0.393,1
110.6,0.87,2.38,0.264,46.07,1.6,24.3,5.09,1.69,0.644,0.3071,1
110.6,0.87,2.38,0.264,46.07,1.6,24.3,5.09,1.69,0.644,0.665,1
110.6,0.87,2.38,0.264,46.07,1.6,24.3,5.09,1.69,0.644,0.644,1
110.6,0.87,2.38,0.264,46.07,1.6,24.3,5.09,1.69,0.644,0.102,0
110.6,0.87,2.38,0.264,46.07,1.6,24.3,5.09,1.69,0.644,0.56,1
110.6,0.87,2.38,0.264,46.07,1.6,24.3,5.09,1.69,0.644,0.363,1
110.6,0.87,2.38,0.264,46.07,1.6,24.3,5.09,1.69,0.644,0,0
110.6,0.87,2.38,0.264,41.05,1.4,37.5,4.45,3.5,0.32699,0.5625,0
110.6,0.87,2.38,0.264,41.05,1.4,37.5,4.45,3.5,0.32699,0.264,0
110.6,0.87,2.38,0.264,41.05,1.4,37.5,4.45,3.5,0.32699,0.3611,0
110.6,0.87,2.38,0.264,41.05,1.4,37.5,4.45,3.5,0.32699,0.3199,0
110.6,0.87,2.38,0.264,41.05,1.4,37.5,4.45,3.5,0.32699,0.4469,0
110.6,0.87,2.38,0.264,41.05,1.4,37.5,4.45,3.5,0.32699,0.3289,0
110.6,0.87,2.38,0.264,41.05,1.4,37.5,4.45,3.5,0.32699,0.36199,0
110.6,0.87,2.38,0.264,41.05,1.4,37.5,4.45,3.5,0.32699,0.369,0
110.6,0.87,2.38,0.264,41.05,1.4,37.5,4.45,3.5,0.32699,1.106,1
110.6,0.87,2.38,0.264,41.05,1.4,37.5,4.45,3.5,0.32699,0.2977,0
110.6,0.87,2.38,0.264,41.05,1.4,37.5,4.45,3.5,0.32699,0.393,0
110.6,0.87,2.38,0.264,41.05,1.4,37.5,4.45,3.5,0.32699,0.3071,0
